epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.35406,2.15987,3.01366,1.57214,0.02627,0.61751,0.2149,0.118,1.66751,2.92199,1.11664,0.0001,0.0001,0.0001
2,2.31916,1.79391,2.73746,1.28017,0.03431,0.80645,0.37671,0.16952,1.73707,2.90073,1.1741,0.000217822,0.000217822,0.000217822
3,3.27668,1.73935,2.2104,1.23013,0.03745,0.88018,0.37598,0.17341,1.681,2.82208,1.13338,0.000333268,0.000333268,0.000333268
4,4.19906,1.71501,1.81364,1.21837,0.03765,0.88479,0.35349,0.1779,1.7608,2.7961,1.14853,0.000446338,0.000446338,0.000446338
5,5.11681,1.73911,1.59143,1.25101,0.03569,0.83871,0.39659,0.2026,1.70493,2.71509,1.12522,0.000557032,0.000557032,0.000557032
6,6.06413,1.71293,1.38441,1.23188,0.92643,0.17411,0.39697,0.19383,1.65486,2.71271,1.18698,0.00066535,0.00066535,0.00066535
7,6.96859,1.69566,1.32336,1.27169,0.93391,0.19538,0.38332,0.18231,1.71526,2.63701,1.24666,0.000771292,0.000771292,0.000771292
8,7.88536,1.73671,1.30659,1.27858,0.95378,0.28528,0.44118,0.21163,1.74741,2.48675,1.23332,0.000874858,0.000874858,0.000874858
9,8.82044,1.68211,1.23045,1.23664,0.80351,0.2765,0.46581,0.19999,1.81863,2.34546,1.24017,0.000976048,0.000976048,0.000976048
10,9.7457,1.73487,1.27585,1.28148,0.73377,0.39171,0.54556,0.25812,1.74937,2.04058,1.23232,0.00107486,0.00107486,0.00107486
11,10.6738,1.68297,1.25864,1.27618,0.6634,0.41014,0.49897,0.25139,1.7194,1.9851,1.23626,0.0011713,0.0011713,0.0011713
12,11.5752,1.64044,1.22613,1.23962,0.65726,0.41935,0.50744,0.24895,1.80476,1.9787,1.28456,0.00126536,0.00126536,0.00126536
13,12.4789,1.67014,1.22384,1.26133,0.72568,0.49983,0.61051,0.30574,1.70841,1.75242,1.22185,0.00135705,0.00135705,0.00135705
14,13.3934,1.64077,1.19103,1.24391,0.72731,0.57143,0.6887,0.33811,1.76943,1.5652,1.25697,0.00144636,0.00144636,0.00144636
