epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.21863,2.19265,3.21365,1.65055,0.66381,0.47465,0.50349,0.22117,1.78685,2.20777,1.30398,0.0001,0.0001,0.0001
2,2.90506,1.79504,1.63157,1.34644,0.81674,0.84208,0.86072,0.40563,1.651,1.55846,1.19943,0.000217822,0.000217822,0.000217822
3,4.36418,1.66133,1.1952,1.23879,0.81256,0.79908,0.85026,0.41674,1.68397,1.8503,1.25571,0.000333268,0.000333268,0.000333268
4,5.83631,1.63973,1.24559,1.23979,0.80195,0.82107,0.85821,0.40097,1.74203,1.77233,1.25918,0.000446338,0.000446338,0.000446338
5,7.2253,1.6783,1.22757,1.26687,0.78599,0.71889,0.824,0.368,1.84829,1.60534,1.31487,0.000557032,0.000557032,0.000557032
6,8.61985,1.61565,1.07385,1.23773,0.80443,0.74654,0.82676,0.40601,1.73966,1.27074,1.25422,0.00066535,0.00066535,0.00066535
7,10.0231,1.64487,1.1075,1.27354,0.80755,0.71548,0.79989,0.36656,1.81403,1.37973,1.31423,0.000771292,0.000771292,0.000771292
8,11.4364,1.67467,1.11889,1.28043,0.78459,0.58065,0.71234,0.32309,1.86114,1.30784,1.39365,0.000874858,0.000874858,0.000874858
9,12.8452,1.6714,1.09985,1.26161,0.7502,0.63663,0.72175,0.33186,1.92757,1.40194,1.40193,0.000976048,0.000976048,0.000976048
10,14.231,1.65672,1.08825,1.2812,0.71969,0.76959,0.78193,0.37055,1.83549,1.17604,1.35583,0.00107486,0.00107486,0.00107486
11,15.6124,1.6002,1.05655,1.26594,0.74822,0.69124,0.75466,0.36984,1.78682,1.20285,1.33303,0.0011713,0.0011713,0.0011713
12,16.98,1.57366,1.00026,1.23681,0.85903,0.68203,0.82628,0.38595,1.81353,1.10691,1.37168,0.00126536,0.00126536,0.00126536
13,18.3554,1.6331,1.00498,1.25174,0.78272,0.7235,0.80006,0.36965,1.81673,1.27973,1.35888,0.00135705,0.00135705,0.00135705
14,19.7385,1.60578,1.00641,1.2712,0.75523,0.66359,0.73929,0.34208,1.83279,1.59987,1.36796,0.00144636,0.00144636,0.00144636
15,21.102,1.57653,0.99618,1.25487,0.71495,0.59908,0.71142,0.32045,1.86734,1.44775,1.36707,0.00153329,0.00153329,0.00153329
16,22.4861,1.63775,1.00428,1.23728,0.77328,0.7073,0.76933,0.34624,1.90433,1.69973,1.56235,0.00161785,0.00161785,0.00161785
17,23.8575,1.61987,1.07571,1.26265,0.81373,0.6682,0.77427,0.34806,1.90552,1.8277,1.56379,0.0016832,0.0016832,0.0016832
18,25.2484,1.64111,1.06741,1.25637,0.618,0.59447,0.63284,0.25053,2.05688,1.91635,1.5465,0.0016634,0.0016634,0.0016634
19,26.6365,1.65431,1.06331,1.23691,0.70884,0.67742,0.70033,0.32648,1.8437,1.71338,1.41504,0.0016436,0.0016436,0.0016436
20,28.0248,1.58298,1.00226,1.2479,0.6411,0.55153,0.58518,0.28028,1.8005,1.48012,1.37892,0.0016238,0.0016238,0.0016238
21,29.4222,1.61934,0.97777,1.2557,0.60677,0.6129,0.5736,0.2686,1.82637,1.40615,1.35596,0.001604,0.001604,0.001604
22,30.8439,1.58881,0.96106,1.25152,0.74204,0.63629,0.70839,0.32761,1.81325,1.43544,1.36463,0.0015842,0.0015842,0.0015842
23,32.2412,1.55546,0.91192,1.2012,0.77098,0.71429,0.79242,0.34204,1.848,1.3981,1.42111,0.0015644,0.0015644,0.0015644
24,33.6506,1.5541,0.93474,1.22504,0.77271,0.75576,0.78482,0.36191,1.77932,1.16485,1.33756,0.0015446,0.0015446,0.0015446
25,35.0497,1.53213,0.92129,1.19538,0.71905,0.79023,0.76137,0.33952,1.79588,1.29002,1.36072,0.0015248,0.0015248,0.0015248
26,36.4512,1.55629,0.96927,1.24586,0.7718,0.74194,0.8088,0.37503,1.83607,1.12027,1.32916,0.001505,0.001505,0.001505
27,37.8417,1.54965,0.91695,1.2049,0.8114,0.74654,0.82558,0.3634,1.91317,1.10044,1.37839,0.0014852,0.0014852,0.0014852
28,39.2382,1.51507,0.88606,1.21328,0.83572,0.76037,0.83995,0.40792,1.76485,1.00031,1.27876,0.0014654,0.0014654,0.0014654
29,40.6476,1.57596,0.89994,1.20054,0.74143,0.7788,0.81479,0.41279,1.75996,1.02096,1.28453,0.0014456,0.0014456,0.0014456
30,42.0458,1.55115,0.897,1.23028,0.7739,0.80184,0.83076,0.36363,1.87817,1.02927,1.38296,0.0014258,0.0014258,0.0014258
